"Date","Currency","Currency Pair","Buying","Selling","Mid Rate"
"31 Dec 2020","Pound Sterling","GBPGHS","7.8697","7.8787","7.8742"
"30 Dec 2020","Pound Sterling","GBPGHS","7.8003","7.8087","7.8045"
"29 Dec 2020","Pound Sterling","GBPGHS","7.7294","7.7383","7.7339"
"24 Dec 2020","Pound Sterling","GBPGHS","7.7684","7.7779","7.7732"
"23 Dec 2020","Pound Sterling","GBPGHS","7.7260","7.7344","7.7302"
"22 Dec 2020","Pound Sterling","GBPGHS","7.6429","7.6517","7.6473"
"21 Dec 2020","Pound Sterling","GBPGHS","7.6050","7.6138","7.6094"
"18 Dec 2020","Pound Sterling","GBPGHS","7.7083","7.7172","7.7128"
"17 Dec 2020","Pound Sterling","GBPGHS","7.7534","7.7675","7.7605"
"16 Dec 2020","Pound Sterling","GBPGHS","7.7185","7.7273","7.7229"
"15 Dec 2020","Pound Sterling","GBPGHS","7.6402","7.6484","7.6443"
"14 Dec 2020","Pound Sterling","GBPGHS","7.6349","7.6432","7.6391"
"11 Dec 2020","Pound Sterling","GBPGHS","7.5491","7.5578","7.5535"
"10 Dec 2020","Pound Sterling","GBPGHS","7.5993","7.6075","7.6034"
"09 Dec 2020","Pound Sterling","GBPGHS","7.6652","7.6734","7.6693"
"08 Dec 2020","Pound Sterling","GBPGHS","7.6047","7.6134","7.6091"
"04 Dec 2020","Pound Sterling","GBPGHS","7.7040","7.7123","7.7082"
"03 Dec 2020","Pound Sterling","GBPGHS","7.7012","7.7100","7.7056"
"02 Dec 2020","Pound Sterling","GBPGHS","7.6101","7.6182","7.6142"
"01 Dec 2020","Pound Sterling","GBPGHS","7.6329","7.6411","7.6370"
"30 Nov 2020","Pound Sterling","GBPGHS","7.6385","7.6467","7.6426"
"27 Nov 2020","Pound Sterling","GBPGHS","7.6253","7.6335","7.6294"
"26 Nov 2020","Pound Sterling","GBPGHS","7.6075","7.6157","7.6116"
"25 Nov 2020","Pound Sterling","GBPGHS","7.6389","7.6477","7.6433"
"24 Nov 2020","Pound Sterling","GBPGHS","7.6223","7.6305","7.6264"
"23 Nov 2020","Pound Sterling","GBPGHS","7.5865","7.5947","7.5906"
"20 Nov 2020","Pound Sterling","GBPGHS","7.5865","7.5941","7.5903"
"19 Nov 2020","Pound Sterling","GBPGHS","7.5499","7.5580","7.5540"
"18 Nov 2020","Pound Sterling","GBPGHS","7.5955","7.6037","7.5996"
"17 Nov 2020","Pound Sterling","GBPGHS","7.5628","7.5709","7.5669"
"16 Nov 2020","Pound Sterling","GBPGHS","7.5326","7.5408","7.5367"
"13 Nov 2020","Pound Sterling","GBPGHS","7.5111","7.5209","7.5160"
"12 Nov 2020","Pound Sterling","GBPGHS","7.5026","7.5106","7.5066"
"11 Nov 2020","Pound Sterling","GBPGHS","7.5413","7.5494","7.5454"
"10 Nov 2020","Pound Sterling","GBPGHS","7.5755","7.5837","7.5796"
"09 Nov 2020","Pound Sterling","GBPGHS","7.5193","7.5280","7.5237"
"06 Nov 2020","Pound Sterling","GBPGHS","7.4784","7.4870","7.4827"
"05 Nov 2020","Pound Sterling","GBPGHS","7.4724","7.4804","7.4764"
"04 Nov 2020","Pound Sterling","GBPGHS","7.4199","7.4285","7.4242"
"03 Nov 2020","Pound Sterling","GBPGHS","7.4406","7.4486","7.4446"
"02 Nov 2020","Pound Sterling","GBPGHS","7.3646","7.3732","7.3689"
"30 Oct 2020","Pound Sterling","GBPGHS","7.3873","7.3953","7.3913"
"29 Oct 2020","Pound Sterling","GBPGHS","7.3542","7.3616","7.3579"
"28 Oct 2020","Pound Sterling","GBPGHS","7.4043","7.4123","7.4083"
"27 Oct 2020","Pound Sterling","GBPGHS","7.4391","7.4477","7.4434"
"26 Oct 2020","Pound Sterling","GBPGHS","7.4292","7.4377","7.4335"
"23 Oct 2020","Pound Sterling","GBPGHS","7.4458","7.4539","7.4499"
"22 Oct 2020","Pound Sterling","GBPGHS","7.4698","7.4778","7.4738"
"21 Oct 2020","Pound Sterling","GBPGHS","7.4976","7.5056","7.5016"
"20 Oct 2020","Pound Sterling","GBPGHS","7.3978","7.4057","7.4018"
"19 Oct 2020","Pound Sterling","GBPGHS","7.4136","7.4221","7.4179"
"16 Oct 2020","Pound Sterling","GBPGHS","7.3697","7.3782","7.3740"
"15 Oct 2020","Pound Sterling","GBPGHS","7.3637","7.3716","7.3677"
"14 Oct 2020","Pound Sterling","GBPGHS","7.4201","7.4281","7.4241"
"13 Oct 2020","Pound Sterling","GBPGHS","7.3849","7.3934","7.3892"
"12 Oct 2020","Pound Sterling","GBPGHS","7.4458","7.4544","7.4501"
"09 Oct 2020","Pound Sterling","GBPGHS","7.4110","7.4190","7.4150"
"08 Oct 2020","Pound Sterling","GBPGHS","7.3774","7.3859","7.3817"
"07 Oct 2020","Pound Sterling","GBPGHS","7.3653","7.3733","7.3693"
"06 Oct 2020","Pound Sterling","GBPGHS","7.3847","7.3927","7.3887"
"05 Oct 2020","Pound Sterling","GBPGHS","7.3913","7.3992","7.3953"
"02 Oct 2020","Pound Sterling","GBPGHS","7.3736","7.3815","7.3776"
"01 Oct 2020","Pound Sterling","GBPGHS","7.3500","7.3579","7.3540"
"30 Sep 2020","Pound Sterling","GBPGHS","7.3545","7.3624","7.3585"
"29 Sep 2020","Pound Sterling","GBPGHS","7.3263","7.3342","7.3303"
"28 Sep 2020","Pound Sterling","GBPGHS","7.3221","7.3300","7.3261"
"25 Sep 2020","Pound Sterling","GBPGHS","7.2373","7.2452","7.2413"
"24 Sep 2020","Pound Sterling","GBPGHS","7.2452","7.2530","7.2491"
"23 Sep 2020","Pound Sterling","GBPGHS","7.2714","7.2798","7.2756"
"22 Sep 2020","Pound Sterling","GBPGHS","7.2536","7.2614","7.2575"
"18 Sep 2020","Pound Sterling","GBPGHS","7.3807","7.3886","7.3847"
"17 Sep 2020","Pound Sterling","GBPGHS","7.3777","7.3857","7.3817"
