Buying,Selling,Mid Rate
0,0.8636,0.4318
0,0.8632,0.4316
0,0.8641,0.4321
0,0.8575,0.4288
0,0.8623,0.4312
0,0.8655,0.4328
0,0.867,0.4335
0,0.8787,0.4394
0,0.8795,0.4398
0,0.8848,0.4424
0,0.8629,0.4315
0,0.8651,0.4326
0,0.8621,0.4311
0,0.8558,0.4279
0,0.8403,0.4202
0,0.8522,0.4261
0,0.8558,0.4279
0,0.8668,0.4334
0,0.8611,0.4306
0,0.8707,0.4354
0,0.87,0.435
0,0.8747,0.4374
0,0.9782,0.4891
0,0.8896,0.4448
0,0.8919,0.446
0,0.8763,0.4382
0,0.878,0.439
0,0.8737,0.4369
0,0.8869,0.4435
0,0.8887,0.4444
0,0.8877,0.4439
0,"8,888.00","4,444.00"
0,0.8909,0.4455
0,0.8983,0.4492
0,0.9042,0.4521
0,0.901,0.4505
0,0.9027,0.4514
0,0.9063,0.4532
0,0.9063,0.4532
0,0.9117,0.4559
0,0.9233,0.4617
0,0.924,0.462
0,0.9199,0.46
0,0.9165,0.4583
0,0.9106,0.4553
0,0.917,0.4585
0,0.9102,0.4551
0,0.9102,0.4551
0,0.9163,0.4582
0,0.9207,0.4604
0,0.9298,0.4649
0,0.9123,0.4562
0,0.9125,0.4563
0,0,0
0,0.9008,0.4504
0,0.7908,0.3954
0,0.9017,0.4509
0,0.9067,0.4534
0,0.9089,0.4545
0,0.9025,0.4513
0,0.8952,0.4476
0,0.8963,0.4482
0,0.9015,0.4508
0,0.9016,0.4508
0,0.9067,0.4534
0,0.9131,0.4566
0,0.9177,0.4589
0,0.9176,0.4588
0,0.9202,0.4601
0,0.9135,0.4568
0,0.9184,0.4592
0,0.9192,0.4596
0,0.928,0.464
0,0.9299,0.465
0,0.9319,0.466
0,0.9327,0.4664
0,0.9419,0.471
0,0.9381,0.4691
0,0.9332,0.4666
0,0.9308,0.4654
0,0.928,0.464
0,0.9294,0.4647
0,0.9256,0.4628
0,0.941,0.4705
0,0,0
0,0.9432,0.4716
0,0.9363,0.4682
0,0.9383,0.4692
0,0.9364,0.4682
0,0.9464,0.4732
0,0,0
0,0.9391,0.4696
0,0.9469,0.4735
0,0.9564,0.4782
0,0.9625,0.4813
0,0.9626,0.4813
0,0.9645,0.4823
0,0.9648,0.4824
0,0.9653,0.4827
0,0.9691,0.4846
0,0.9685,0.4843
0,0.9619,0.481
0,0.9599,0.48
0,0.9665,0.4833
0,0.9688,0.4844
0,0.9658,0.4829
0,0.9733,0.4867
0,0.9778,0.4889
0,0.9685,0.4843
0,0.9681,0.4841
0,0.9542,0.4771
0,0.9482,0.4741
0,0.9596,0.4798
0,0.9658,0.4829
0,0.9692,0.4846
0,0.9749,0.4875
0,0.9817,0.4909
0,0.9856,0.4928
0,0.9869,0.4935
0,0.9888,0.4944
0,0.9922,0.4961
0,0.9941,0.4971
0,1.0006,0.5003
0,0.9986,0.4993
0,1.001,0.5005
0,1.0013,0.5007
0,0.9969,0.4985
0,0.9969,0.4985
0,0.9931,0.4966
0,1.0037,0.5019
0,1.0097,0.5049
0,1.0158,0.5079
0,1.0317,0.5159
0,1.0281,0.5141
0,1.0281,0.5141
0,1.0225,0.5113
0,1.0266,0.5133
0,1.0285,0.5143
0,1.0199,0.51
0,1.0181,0.5091
0,1.0579,0.529
0,1.0311,0.5156
0,1.0363,0.5182
0,1.026,0.513
0,1.0252,0.5126
0,1.016,0.508
0,1.016,0.508
0,1.0011,0.5006
0,1.0006,0.5003
0,0.995,0.4975
0,0.9754,0.4877
0,0.9684,0.4842
0,0.9614,0.4807
0,0.9562,0.4781
0,0.9633,0.4817
0,0.9453,0.4727
0,0.955,0.4775
0,0.9578,0.4789
0,0.9672,0.4836
0,0.9707,0.4854
0,0.9772,0.4886
0,0.9617,0.4809
0,0.957,0.4785
0,0.965,0.4825
0,0.9719,0.486
0,0.9696,0.4848
0,0.9589,0.4795
0,0.9377,0.4689
0,0.9275,0.4638
0,0.944,0.472
0,0.9206,0.4603
0,0.933,0.4665
0,0.9149,0.4575
0,0.9117,0.4559
0,0.9016,0.4508
0,0.9186,0.4593
0,0.933,0.4665
0,0.8962,0.4481
0,0.9065,0.4533
0,0.9121,0.4561
0,0.925,0.4625
0,0.9505,0.4753
0,0.9589,0.4795
0,0.9557,0.4779
0,0.9574,0.4787
0,0.9447,0.4724
0,0.9125,0.4563
0,0.9125,0.4563
0,0.9042,0.4521
0,0.8899,0.445
0,0.8585,0.4293
0,0.8366,0.4183
0,0.7901,0.3951
0,0.8002,0.4001
0,0.7594,0.3797
0,0.78,0.39
0,0.8129,0.4065
0,0.8097,0.4049
0,0.7721,0.3861
0,0.7931,0.3966
0,0.9856,0.4928
0,0.795,0.3975
0,0.7717,0.3859
0,0.7802,0.3901
0,0.7407,0.3704
0,0.7097,0.3549
0,0.7217,0.3609
0,0.7524,0.3762
0,0.7967,0.3984
0,0,0
0,0.7984,0.3992
0,0.7792,0.3896
0,0.8119,0.406
0,0.7876,0.3938
0,0.7825,0.3913
0,0.8031,0.4016
0,0.7851,0.3926
0,0.78,0.39
0,0.7576,0.3788
0,0.7723,0.3862
0,0.7632,0.3816
0,0.7616,0.3808
0,0.7669,0.3835
0,0.753,0.3765
0,0.7386,0.3693
0,0.7489,0.3745
0,0.7632,0.3816
0,0.7677,0.3839
0,0.7797,0.3899
0,0.7875,0.3938
0,0.7875,0.3938
0,0.773,0.3865
0,0.761,0.3805
0,0.772,0.386
0,0.7694,0.3847
0,0.7844,0.3922
0,0.7937,0.3969
0,0.7952,0.3976
0,0.7849,0.3925
0,0.8064,0.4032
0,0.8112,0.4056
0,0.8404,0.4202
0,0.8519,0.426
0,0.8394,0.4197
0,0.8398,0.4199
0,0.8368,0.4184
0,0.8388,0.4194
0,0.8508,0.4254
0,0.8521,0.4261
0,0.8552,0.4276
0,1.0368,0.5184
0,0.8757,0.4379
0,0.8747,0.4374
0,0.8944,0.4472
0,0.8768,0.4384
0,0.8867,0.4434
0,0.8648,0.4324
0,0.8472,0.4236
0,0,0
0,0.8309,0.4155
0,0.8443,0.4222
0,0.8487,0.4244
0,0.8396,0.4198
0,0.8237,0.4119
0,0.8375,0.4188
0,0.8204,0.4102
0,0.8308,0.4154
0,0.8549,0.4275
0,0.8525,0.4263
0,0.8483,0.4242
0,0.833,0.4165
0,0.8163,0.4082
0,0.823,0.4115
0,0.8303,0.4152
0,0.8446,0.4223
0,0.8616,0.4308
0,0,0
0,0.8862,0.4431
0,0.8657,0.4329
0,0.8681,0.4341
0,0.8758,0.4379
0,0.8605,0.4303
0,0.8503,0.4252
0,0.8625,0.4313
0,0.8687,0.4344
0,0.859,0.4295
0,0.8382,0.4191
0,0.8741,0.4371
0,0.8741,0.4371
0,0.8762,0.4381
0,0.8704,0.4352
0,0.859,0.4295
0,0.8698,0.4349
0,0.861,0.4305
0,0.8739,0.437
0,0.8711,0.4356
0,0.8753,0.4377
0,0.8774,0.4387
0,0.8783,0.4392
0,0.8982,0.4491
0,0.9077,0.4539
0,0.9072,0.4536
0,0.9095,0.4548
0,0.9412,0.4706
0,0.9595,0.4798
0,0.9681,0.4841
0,0.9749,0.4875
0,0.9627,0.4814
0,0.9704,0.4852
0,0.9726,0.4863
0,0.9433,0.4717
0,0.9575,0.4788
0,0.9585,0.4793
0,0.9849,0.4925
0,0.9982,0.4991
0,1,0.5
0,0.9971,0.4986
0,0.985,0.4925
0,0.9952,0.4976
0,0.9955,0.4978
0,1.008,0.504
0,1.0073,0.5037
0,1.0076,0.5038
0,0.9973,0.4987
0,0.9812,0.4906
0,0.9959,0.498
0,1.0046,0.5023
0,1.0162,0.5081
0,1.0136,0.5068
0,0.9952,0.4976
0,1.0137,0.5069
0,1.0427,0.5214
0,1.0466,0.5233
0,1.0537,0.5269
0,1.0572,0.5286
0,1.0727,0.5364
0,1.0774,0.5387
0,1.0925,0.5463
0,1.0896,0.5448
0,1.1006,0.5503
0,1.0762,0.5381
0,1.0831,0.5416
0,1.076,0.538
0,1.1097,0.5549
0,1.1092,0.5546
0,1.1113,0.5557
0,1.1166,0.5583
0,1.1157,0.5579
0,1.131,0.5655
0,1.1212,0.5606
0,1.1391,0.5696
0,1.1709,0.5855
0,1.1658,0.5829
0,1.191,0.5955
0,1.1709,0.5855
0,1.1697,0.5849
0,1.1414,0.5707
0,1.1577,0.5789
0,1.1816,0.5908
