"Date","Currency","Currency Pair","Buying","Selling","Mid Rate"
"31 Dec 2020","US Dollar","USDGHS","5.7573","5.7631","5.7602"
"30 Dec 2020","US Dollar","USDGHS","5.7313","5.7371","5.7342"
"29 Dec 2020","US Dollar","USDGHS","5.7293","5.7351","5.7322"
"24 Dec 2020","US Dollar","USDGHS","5.7293","5.7351","5.7322"
"23 Dec 2020","US Dollar","USDGHS","5.7183","5.7241","5.7212"
"22 Dec 2020","US Dollar","USDGHS","5.7173","5.7231","5.7202"
"21 Dec 2020","US Dollar","USDGHS","5.7163","5.7221","5.7192"
"18 Dec 2020","US Dollar","USDGHS","5.7166","5.7224","5.7195"
"17 Dec 2020","US Dollar","USDGHS","5.7136","5.7194","5.7165"
"16 Dec 2020","US Dollar","USDGHS","5.7131","5.7189","5.7160"
"15 Dec 2020","US Dollar","USDGHS","5.7131","5.7189","5.7160"
"14 Dec 2020","US Dollar","USDGHS","5.7126","5.7184","5.7155"
"11 Dec 2020","US Dollar","USDGHS","5.7116","5.7174","5.7145"
"10 Dec 2020","US Dollar","USDGHS","5.7116","5.7174","5.7145"
"09 Dec 2020","US Dollar","USDGHS","5.7113","5.7171","5.7142"
"08 Dec 2020","US Dollar","USDGHS","5.7113","5.7171","5.7142"
"04 Dec 2020","US Dollar","USDGHS","5.7113","5.7171","5.7142"
"03 Dec 2020","US Dollar","USDGHS","5.7113","5.7171","5.7142"
"02 Dec 2020","US Dollar","USDGHS","5.7115","5.7173","5.7144"
"01 Dec 2020","US Dollar","USDGHS","5.7115","5.7173","5.7144"
"30 Nov 2020","US Dollar","USDGHS","5.7110","5.7168","5.7139"
"27 Nov 2020","US Dollar","USDGHS","5.7105","5.7163","5.7134"
"26 Nov 2020","US Dollar","USDGHS","5.7100","5.7158","5.7129"
"25 Nov 2020","US Dollar","USDGHS","5.7100","5.7158","5.7129"
"24 Nov 2020","US Dollar","USDGHS","5.7100","5.7158","5.7129"
"23 Nov 2020","US Dollar","USDGHS","5.7101","5.7159","5.7130"
"20 Nov 2020","US Dollar","USDGHS","5.7101","5.7159","5.7130"
"19 Nov 2020","US Dollar","USDGHS","5.7096","5.7154","5.7125"
"18 Nov 2020","US Dollar","USDGHS","5.7096","5.7154","5.7125"
"17 Nov 2020","US Dollar","USDGHS","5.7090","5.7148","5.7119"
"16 Nov 2020","US Dollar","USDGHS","5.7091","5.7149","5.7120"
"13 Nov 2020","US Dollar","USDGHS","5.7088","5.7146","5.7117"
"12 Nov 2020","US Dollar","USDGHS","5.7088","5.7146","5.7117"
"11 Nov 2020","US Dollar","USDGHS","5.7083","5.7141","5.7112"
"10 Nov 2020","US Dollar","USDGHS","5.7083","5.7141","5.7112"
"09 Nov 2020","US Dollar","USDGHS","5.7081","5.7139","5.7110"
"06 Nov 2020","US Dollar","USDGHS","5.7078","5.7136","5.7107"
"05 Nov 2020","US Dollar","USDGHS","5.7080","5.7138","5.7109"
"04 Nov 2020","US Dollar","USDGHS","5.7080","5.7138","5.7109"
"03 Nov 2020","US Dollar","USDGHS","5.7081","5.7139","5.7110"
"02 Nov 2020","US Dollar","USDGHS","5.7081","5.7139","5.7110"
"30 Oct 2020","US Dollar","USDGHS","5.7071","5.7129","5.7100"
"29 Oct 2020","US Dollar","USDGHS","5.7071","5.7129","5.7100"
"28 Oct 2020","US Dollar","USDGHS","5.7061","5.7119","5.7090"
"27 Oct 2020","US Dollar","USDGHS","5.7061","5.7119","5.7090"
